"Tabela 5 - Escolas públicas estaduais existentes em 31.12 e com instalações esportivas,",,,,,
"por tipo de instalações esportivas, segundo Grandes Regiões e Unidades da Federação - 2003",,,,,
,,,,,
,,,,,
,,,,,(continua)
"
Grandes Regiões e
Unidades da Federação",Escolas públicas estaduais existentes em 31.12,,,,
,Total,Instalações esportivas,,,
,,"Total com
instalações
esportivas","Com instalações esportivas,
por tipo de instalações esportivas",,
,,,Total,,
,,,"Somente
piscina","Somente
quadra
coberta","Somente
quadra
não-coberta"
               Brasil,35 412,18 493, 63,4 207,12 536
     Norte (1),4 008,1 167, 13, 359, 740
Acre, 703, 77,-, 44, 28
Amazonas, 511, 221,-, 102, 113
Roraima, 537, 77, 2, 51, 18
Pará,1 312, 465, 7, 72, 365
Amapá, 419, 118, 3, 65, 42
Tocantins, 526, 209, 1, 25, 174
     Nordeste,8 968,2 832, 19, 491,2 212
Maranhão,1 078, 318, 1, 36, 266
Piauí, 946, 246, 4, 17, 219
Ceará, 782, 433, 3, 150, 253
Rio Grande do Norte, 919, 173, 8, 52, 105
Paraíba,1 266, 310, 1, 125, 168
Pernambuco,1 093, 449, 1, 29, 410
Alagoas, 365, 62,-, 13, 43
Sergipe, 403, 124, 1, 37, 81
Bahia,2 116, 717,-, 32, 667
     Sudeste,13 182,8 549, 13,2 318,5 214
Minas Gerais,3 925,2 051, 5, 231,1 710
Espírito Santo,1 336, 321, 1, 138, 165
Rio de Janeiro,1 905,1 198, 2, 527, 506
São Paulo,6 016,4 979, 5,1 422,2 833
     Sul,6 406,4 289,-, 764,3 100
Paraná,2 062,1 634,-, 443,1 007
Santa Catarina,1 303, 827,-, 111, 649
Rio Grande do Sul,3 041,1 828,-, 210,1 444
     Centro-Oeste ,2 848,1 656, 18, 275,1 270
Mato Grosso do Sul, 398, 331, 2, 20, 291
Mato Grosso, 610, 490,-, 170, 296
Goiás,1 233, 489, 1, 77, 388
Distrito federal, 607, 346, 15, 8, 295
